APRS config Name,SSID,Via1,Via1 SSID,Via2,Via2 SSID,Icon table,Icon,Comment text,Ambiguity,Use position,Latitude,Longitude,TX Frequency,Transmit QSY,Baud rate setting
APRS_NA,2,WIDE1,1,WIDE2,1,0,15,,0,False,0,0,144.39000,False,0,
APRS_Sag,3,WIDE1,1,WIDE2,1,0,16,,0,False,0,0,145.09000,False,0,
